top - 00:08:40 up  5:36,  1 user,  load average: 0.02, 0.04, 0.05
Tasks: 315 total,   1 running, 313 sleeping,   0 stopped,   1 zombie
%Cpu(s):  4.0 us,  4.0 sy,  0.0 ni, 88.0 id,  4.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.8 total,    531.4 free,   1368.5 used,   2274.1 buff/cache     
MiB Swap:   3719.0 total,   3467.1 free,    251.9 used.   2499.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
  48531 spongeb+  20   0   14508   5660   3508 R   9.1   0.1   0:00.03 top
      1 root      20   0   23464  13688   8864 S   0.0   0.3   0:14.35 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.05 kthreadd
      3 root      20   0       0      0      0 S   0.0   0.0   0:00.00 pool_wo+
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      7 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
     13 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     14 root      20   0       0      0      0 S   0.0   0.0   0:00.42 ksoftir+
     15 root      20   0       0      0      0 I   0.0   0.0   0:03.05 rcu_pre+
     16 root      20   0       0      0      0 S   0.0   0.0   0:00.01 rcu_exp+
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.01 rcu_exp+
     18 root      rt   0       0      0      0 S   0.0   0.0   0:00.17 migrati+
     19 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     20 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     21 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     22 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     23 root      rt   0       0      0      0 S   0.0   0.0   0:00.82 migrati+
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.63 ksoftir+
     29 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmp+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     32 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     33 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tas+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
     35 root      20   0       0      0      0 S   0.0   0.0   0:00.03 khungta+
     36 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_rea+
     39 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     40 root      20   0       0      0      0 S   0.0   0.0   0:07.49 kcompac+
     41 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
     42 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepa+
     43 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     46 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/9-a+
     48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     53 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     54 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdo+
     55 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     57 root      20   0       0      0      0 S   0.0   0.0   0:05.05 kswapd0
     58 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptf+
     59 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     60 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/24-+
     61 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/25-+
     62 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/26-+
     63 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/27-+
     64 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/28-+
     65 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/29-+
     66 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-+
     67 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/31-+
     68 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/32-+
     69 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/33-+
     70 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/34-+
     71 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/35-+
     72 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/36-+
     73 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/37-+
     74 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/38-+
     75 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/39-+
     76 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/40-+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/41-+
     78 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/42-+
     79 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/43-+
     80 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/44-+
     81 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/45-+
     82 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/46-+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/47-+
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/48-+
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/49-+
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/50-+
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/51-+
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/52-+
     89 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/53-+
     90 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/54-+
     91 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/55-+
     92 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     94 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     95 root      20   0       0      0      0 S   0.0   0.0   0:00.01 scsi_eh+
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    101 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    120 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    172 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    173 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    182 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    183 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    184 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    185 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    186 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    187 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    188 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    189 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    190 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    191 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    192 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    193 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    194 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    195 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    196 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    197 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    198 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    199 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    200 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    201 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    202 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    203 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    205 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    206 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    207 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    208 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    210 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    211 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    212 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    213 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
